MCS,SNR_dB
0,-4.908499655886529
1,-2.836058095045329
2,-0.7585671653836742
3,1.186905127643606
4,2.99482986870315
5,5.135148451714862
6,6.084611642673745
7,6.872019958700983
8,8.125672797936229
9,8.806600993353237
10,9.471023193124784
11,10.748091004831599
12,11.781628934898933
13,12.85
14,13.501219502521689
15,14.566737205046616
16,15.598968783852152
17,16.30044493491871
18,17.026375759310895
19,18.185981435186704
20,19.319267894257234
21,20.028463362450537
22,21.13046126143583
23,21.941193048706964
24,22.94449771448116
25,23.953880687413616
26,24.75256920424493
27,26.21886956143778
